sub_agency,id,code,agency_id,agency_abbreviation,agency_name,agency_slug,subagency_slug,total_spend,total_outlays,it_category,normalized_intensity
Department of the Air Force,1196,USAF,126,DOD,Department of Defense,department-of-defense,department-of-the-air-force,10383352809.91,,Development/Modernization (DME),1.0
Department of the Navy,1174,USN,126,DOD,Department of Defense,department-of-defense,department-of-the-navy,8704217426.96,,Development/Modernization (DME),0.8381879106037161
Defense Information Systems Agency,1217,DISA,126,DOD,Department of Defense,department-of-defense,defense-information-systems-agency,8672146119.68,,Development/Modernization (DME),0.8350973169009442
Department of the Army,1188,USA,126,DOD,Department of Defense,department-of-defense,department-of-the-army,6057841758.35,,Development/Modernization (DME),0.5831664390693853
Defense Logistics Agency,1219,DLA,126,DOD,Department of Defense,department-of-defense,defense-logistics-agency,2605148880.55,,Development/Modernization (DME),0.2504431492897653
Defense Health Agency,1225,DHA,126,DOD,Department of Defense,department-of-defense,defense-health-agency,1953994345.46,,Development/Modernization (DME),0.1876937861873881
U.S. Special Operations Command,1235,USSOCOM,126,DOD,Department of Defense,department-of-defense,us-special-operations-command,661335500.38,,Development/Modernization (DME),0.06312501661533369
USTRANSCOM,1212,,126,DOD,Department of Defense,department-of-defense,ustranscom,499182575.4,,Development/Modernization (DME),0.04749893675354451
Defense Counterintelligence and Security Agency,1221,DCSA,126,DOD,Department of Defense,department-of-defense,defense-counterintelligence-and-security-agency,488673054.62,,Development/Modernization (DME),0.04648617296258811
Washington Headquarters Services,1231,WHS,126,DOD,Department of Defense,department-of-defense,washington-headquarters-services,374642516.64,,Development/Modernization (DME),0.035497470209442966
Defense Advanced Research Projects Agency,1216,DARPA,126,DOD,Department of Defense,department-of-defense,defense-advanced-research-projects-agency,369974727.59,,Development/Modernization (DME),0.03504765257906546
Defense Threat Reduction Agency,1208,DTRA,126,DOD,Department of Defense,department-of-defense,defense-threat-reduction-agency,279585417.74,,Operations & Maintenance (O&M),0.02633716786506899
Missile Defense Agency,1234,MDA,126,DOD,Department of Defense,department-of-defense,missile-defense-agency,190146282.92,,Operations & Maintenance (O&M),0.0177182480174065
Defense Finance and Accounting Service,1223,DFAS,126,DOD,Department of Defense,department-of-defense,defense-finance-and-accounting-service,176214350.88,,Operations & Maintenance (O&M),0.016375679064592908
U.S. Cyber Command,1482,USCYBERCOM,126,DOD,Department of Defense,department-of-defense,us-cyber-command,147254621.75,,Operations & Maintenance (O&M),0.013584936682258594
Defense Human Resources Activity,1206,,126,DOD,Department of Defense,department-of-defense,defense-human-resources-activity,94715098.43,,Operations & Maintenance (O&M),0.008521896423195023
Defense Media Activity,1227,DMA,126,DOD,Department of Defense,department-of-defense,defense-media-activity,93322293.39,,Operations & Maintenance (O&M),0.008387676933847996
Department of Defense Education Activity,1228,DODEA,126,DOD,Department of Defense,department-of-defense,department-of-defense-education-activity,90687567.1,,Operations & Maintenance (O&M),0.008133778070003426
Uniformed Services University of the Health Sciences,1233,USUHS,126,DOD,Department of Defense,department-of-defense,uniformed-services-university-of-the-health-sciences,29357595.85,,Operations & Maintenance (O&M),0.0022236347359134803
Defense Microelectronics Activity,1210,DMEA,126,DOD,Department of Defense,department-of-defense,defense-microelectronics-activity,23420151.59,,Operations & Maintenance (O&M),0.0016514651115103118
Defense Commissary Agency,1222,DECA,126,DOD,Department of Defense,department-of-defense,defense-commissary-agency,8662327.61,,Operations & Maintenance (O&M),0.00022930799577434484
Defense Contract Management Agency,1209,DCMA,126,DOD,Department of Defense,department-of-defense,defense-contract-management-agency,6282782.48,,Operations & Maintenance (O&M),0.0
